Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
       36    0.000    0.000    0.063    0.002 <__array_function__ internals>:2(concatenate)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
        6    0.000    0.000    0.013    0.002 <__array_function__ internals>:2(delete)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(diff)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
        6    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(isclose)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(min_scalar_type)
      127    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
        3    0.000    0.000    0.011    0.004 <__array_function__ internals>:2(repeat)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
    45858    0.047    0.000    0.352    0.000 <__array_function__ internals>:2(size)
       11    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(zeros_like)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
  764/554    0.003    0.000    0.880    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1099    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
      457    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      457    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:147(__enter__)
      457    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1099    0.007    0.000    0.014    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      455    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      642    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    604/3    0.001    0.000    1.715    0.572 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     3930    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      452    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      353    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      766    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:376(cached)
      665    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
      435    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      435    0.009    0.000    0.031    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  435/432    0.002    0.000    0.259    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      455    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:613(_load_backward_compatible)
    436/3    0.004    0.000    1.727    0.576 <frozen importlib._bootstrap>:650(_load_unlocked)
      451    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:725(find_spec)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:746(create_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     1099    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      429    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
     1321    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1321    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:867(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      451    0.007    0.000    0.408    0.001 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    457/6    0.004    0.000    1.735    0.289 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    457/6    0.012    0.000    1.736    0.289 <frozen importlib._bootstrap>:986(_find_and_load)
      353    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       48    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       60    0.000    0.000    0.227    0.004 <frozen importlib._bootstrap_external>:1099(create_module)
    60/37    0.001    0.000    0.272    0.007 <frozen importlib._bootstrap_external>:1107(exec_module)
       48    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      835    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      429    0.004    0.000    0.394    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
      429    0.001    0.000    0.395    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
       48    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      413    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      753    0.016    0.000    0.371    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       48    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
